UNIPROT	REACTION_STID	REACTION_DISPLAY_NAME	PATHWAY_STID	PATHWAY_DISPLAY_NAME
P16157	R-HSA-6807875	ARFGAP, cargo, v-SNAREs and p24 proteins bind nascent COPI complex	R-HSA-597592	Post-translational protein modification
P16157	R-HSA-6807875	ARFGAP, cargo, v-SNAREs and p24 proteins bind nascent COPI complex	R-HSA-5653656	Vesicle-mediated transport
P16157	R-HSA-6807875	ARFGAP, cargo, v-SNAREs and p24 proteins bind nascent COPI complex	R-HSA-199991	Membrane Trafficking
P16157	R-HSA-445076	Phosphorylation of Y1229 in L1	R-HSA-1266738	Developmental Biology
P16157	R-HSA-445076	Phosphorylation of Y1229 in L1	R-HSA-422475	Axon guidance
P16157	R-HSA-445076	Phosphorylation of Y1229 in L1	R-HSA-373760	L1CAM interactions
P16157	R-HSA-445076	Phosphorylation of Y1229 in L1	R-HSA-445095	Interaction between L1 and Ankyrins
P16157	R-HSA-374675	L1 dimer binds Ankyrin	R-HSA-1266738	Developmental Biology
P16157	R-HSA-374675	L1 dimer binds Ankyrin	R-HSA-422475	Axon guidance
P16157	R-HSA-374675	L1 dimer binds Ankyrin	R-HSA-373760	L1CAM interactions
P16157	R-HSA-374675	L1 dimer binds Ankyrin	R-HSA-445095	Interaction between L1 and Ankyrins
P16157	R-HSA-392751	L1 linked to actin cytoskeleton by ankyrin	R-HSA-1266738	Developmental Biology
P16157	R-HSA-392751	L1 linked to actin cytoskeleton by ankyrin	R-HSA-422475	Axon guidance
P16157	R-HSA-392751	L1 linked to actin cytoskeleton by ankyrin	R-HSA-373760	L1CAM interactions
P16157	R-HSA-392751	L1 linked to actin cytoskeleton by ankyrin	R-HSA-445095	Interaction between L1 and Ankyrins
P16157	R-HSA-373739	Ankyrins link voltage-gated sodium and potassium channels to spectrin and L1	R-HSA-1266738	Developmental Biology
P16157	R-HSA-373739	Ankyrins link voltage-gated sodium and potassium channels to spectrin and L1	R-HSA-422475	Axon guidance
P16157	R-HSA-373739	Ankyrins link voltage-gated sodium and potassium channels to spectrin and L1	R-HSA-373760	L1CAM interactions
P16157	R-HSA-373739	Ankyrins link voltage-gated sodium and potassium channels to spectrin and L1	R-HSA-445095	Interaction between L1 and Ankyrins
P16333	R-HSA-430183	NCK binds PAK	R-HSA-202403	TCR signaling
P16333	R-HSA-430183	NCK binds PAK	R-HSA-202433	Generation of second messenger molecules
P16333	R-HSA-430183	NCK binds PAK	R-HSA-168256	Immune System
P16333	R-HSA-430183	NCK binds PAK	R-HSA-1280218	Adaptive Immune System
P16333	R-HSA-430180	NCK recruits WASP	R-HSA-202403	TCR signaling
P16333	R-HSA-430180	NCK recruits WASP	R-HSA-202433	Generation of second messenger molecules
P16333	R-HSA-430180	NCK recruits WASP	R-HSA-168256	Immune System
P16333	R-HSA-430180	NCK recruits WASP	R-HSA-1280218	Adaptive Immune System
P16333	R-HSA-430190	p-SLP-76 binds NCK	R-HSA-202403	TCR signaling
P16333	R-HSA-430190	p-SLP-76 binds NCK	R-HSA-202433	Generation of second messenger molecules
P16333	R-HSA-430190	p-SLP-76 binds NCK	R-HSA-168256	Immune System
P16333	R-HSA-430190	p-SLP-76 binds NCK	R-HSA-1280218	Adaptive Immune System
P16333	R-HSA-418850	Activation of Cdc42	R-HSA-1266738	Developmental Biology
P16333	R-HSA-418850	Activation of Cdc42	R-HSA-422475	Axon guidance
P16333	R-HSA-418850	Activation of Cdc42	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-418850	Activation of Cdc42	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-418856	Activation of Rac1	R-HSA-1266738	Developmental Biology
P16333	R-HSA-418856	Activation of Rac1	R-HSA-422475	Axon guidance
P16333	R-HSA-418856	Activation of Rac1	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-418856	Activation of Rac1	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-418874	Recruitment and activation of N-WASP by Cdc42	R-HSA-1266738	Developmental Biology
P16333	R-HSA-418874	Recruitment and activation of N-WASP by Cdc42	R-HSA-422475	Axon guidance
P16333	R-HSA-418874	Recruitment and activation of N-WASP by Cdc42	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-418874	Recruitment and activation of N-WASP by Cdc42	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-418858	RhoGTPase GEF's recruited to DCC	R-HSA-1266738	Developmental Biology
P16333	R-HSA-418858	RhoGTPase GEF's recruited to DCC	R-HSA-422475	Axon guidance
P16333	R-HSA-418858	RhoGTPase GEF's recruited to DCC	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-418858	RhoGTPase GEF's recruited to DCC	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-1266738	Developmental Biology
P16333	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-422475	Axon guidance
P16333	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-418865	Recruitment of ABLIM to the plasma membrane	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-373716	DCC interacting NCK-1	R-HSA-1266738	Developmental Biology
P16333	R-HSA-373716	DCC interacting NCK-1	R-HSA-422475	Axon guidance
P16333	R-HSA-373716	DCC interacting NCK-1	R-HSA-373752	Netrin-1 signaling
P16333	R-HSA-373716	DCC interacting NCK-1	R-HSA-418885	DCC mediated attractive signaling
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-168249	Innate Immune System
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-168256	Immune System
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-162582	Signal Transduction
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-194315	Signaling by Rho GTPases
P16333	R-HSA-2197698	Phosphorylation of WASP/N-WASP	R-HSA-195258	RHO GTPase Effectors
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-168249	Innate Immune System
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-168256	Immune System
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-162582	Signal Transduction
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-194315	Signaling by Rho GTPases
P16333	R-HSA-2197691	Activation of WASP/N-WASP by WIP family and SH3 domain proteins	R-HSA-195258	RHO GTPase Effectors
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-168249	Innate Immune System
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-168256	Immune System
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-162582	Signal Transduction
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-194315	Signaling by Rho GTPases
P16333	R-HSA-2029466	Attachment of preexisting mother filament and initiation of branching	R-HSA-195258	RHO GTPase Effectors
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-168249	Innate Immune System
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-168256	Immune System
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-162582	Signal Transduction
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-194315	Signaling by Rho GTPases
P16333	R-HSA-2197690	Detachment of WASP/WAVE	R-HSA-195258	RHO GTPase Effectors
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-168249	Innate Immune System
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-168256	Immune System
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-162582	Signal Transduction
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-194315	Signaling by Rho GTPases
P16333	R-HSA-442592	WASPs or WAVEs activate the ARP2/3 complex	R-HSA-195258	RHO GTPase Effectors
P16333	R-HSA-382058	Nck binds to the active PDGF receptor	R-HSA-186763	Downstream signal transduction
P16333	R-HSA-382058	Nck binds to the active PDGF receptor	R-HSA-186797	Signaling by PDGF
P16333	R-HSA-382058	Nck binds to the active PDGF receptor	R-HSA-162582	Signal Transduction
P16333	R-HSA-382058	Nck binds to the active PDGF receptor	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218812	FYN phosphorylates PAK2	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218812	FYN phosphorylates PAK2	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218812	FYN phosphorylates PAK2	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218812	FYN phosphorylates PAK2	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218814	PAK2 autophorylates	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218814	PAK2 autophorylates	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218814	PAK2 autophorylates	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218814	PAK2 autophorylates	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218832	CDC42:GTP binds PAK2	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218832	CDC42:GTP binds PAK2	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218832	CDC42:GTP binds PAK2	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218832	CDC42:GTP binds PAK2	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218847	PAK2 binds NCK	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218847	PAK2 binds NCK	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218847	PAK2 binds NCK	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218847	PAK2 binds NCK	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218854	p-Y420-FYN is phosphorylated on S21	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218854	p-Y420-FYN is phosphorylated on S21	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218854	p-Y420-FYN is phosphorylated on S21	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218854	p-Y420-FYN is phosphorylated on S21	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218806	FYN autophosphorylates	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218806	FYN autophosphorylates	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218806	FYN autophosphorylates	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218806	FYN autophosphorylates	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218824	p-6Y-VEGFR2 binds FYN	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218824	p-6Y-VEGFR2 binds FYN	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218824	p-6Y-VEGFR2 binds FYN	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218824	p-6Y-VEGFR2 binds FYN	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-5218815	p-6Y-VEGFR2 binds NCK	R-HSA-162582	Signal Transduction
P16333	R-HSA-5218815	p-6Y-VEGFR2 binds NCK	R-HSA-194138	Signaling by VEGF
P16333	R-HSA-5218815	p-6Y-VEGFR2 binds NCK	R-HSA-4420097	VEGFA-VEGFR2 Pathway
P16333	R-HSA-5218815	p-6Y-VEGFR2 binds NCK	R-HSA-9006934	Signaling by Receptor Tyrosine Kinases
P16333	R-HSA-532603	Nephrin mediated activation of N-WASP	R-HSA-1500931	Cell-Cell communication
P16333	R-HSA-532603	Nephrin mediated activation of N-WASP	R-HSA-373753	Nephrin family interactions
P16333	R-HSA-373724	Nephrin binds NCK	R-HSA-1500931	Cell-Cell communication
P16333	R-HSA-373724	Nephrin binds NCK	R-HSA-373753	Nephrin family interactions
P16333	R-HSA-428535	Activation of RAC1 by SOS	R-HSA-1266738	Developmental Biology
P16333	R-HSA-428535	Activation of RAC1 by SOS	R-HSA-422475	Axon guidance
P16333	R-HSA-428535	Activation of RAC1 by SOS	R-HSA-376176	Signaling by ROBO receptors
P16333	R-HSA-428535	Activation of RAC1 by SOS	R-HSA-428540	Activation of RAC1
P16333	R-HSA-428515	Recruitment of SOS to plasma membrane	R-HSA-1266738	Developmental Biology
P16333	R-HSA-428515	Recruitment of SOS to plasma membrane	R-HSA-422475	Axon guidance
P16333	R-HSA-428515	Recruitment of SOS to plasma membrane	R-HSA-376176	Signaling by ROBO receptors
P16333	R-HSA-428515	Recruitment of SOS to plasma membrane	R-HSA-428540	Activation of RAC1
P16333	R-HSA-428531	Recruitment of PAK to NCK	R-HSA-1266738	Developmental Biology
P16333	R-HSA-428531	Recruitment of PAK to NCK	R-HSA-422475	Axon guidance
P16333	R-HSA-428531	Recruitment of PAK to NCK	R-HSA-376176	Signaling by ROBO receptors
P16333	R-HSA-428531	Recruitment of PAK to NCK	R-HSA-428540	Activation of RAC1
P16333	R-HSA-428511	NCK binds ROBO1:SLIT2	R-HSA-1266738	Developmental Biology
P16333	R-HSA-428511	NCK binds ROBO1:SLIT2	R-HSA-422475	Axon guidance
P16333	R-HSA-428511	NCK binds ROBO1:SLIT2	R-HSA-376176	Signaling by ROBO receptors
P16333	R-HSA-428511	NCK binds ROBO1:SLIT2	R-HSA-428540	Activation of RAC1
P16333	R-HSA-1112666	BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate	R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
P16333	R-HSA-1112666	BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate	R-HSA-983705	Signaling by the B Cell Receptor (BCR)
P16333	R-HSA-1112666	BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate	R-HSA-168256	Immune System
P16333	R-HSA-1112666	BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate	R-HSA-1280218	Adaptive Immune System
P18206	R-HSA-6803234	Dissociation of paradoxically activated RAS:BRAF complexes	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6803234	Dissociation of paradoxically activated RAS:BRAF complexes	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P18206	R-HSA-6803234	Dissociation of paradoxically activated RAS:BRAF complexes	R-HSA-1643685	Disease
P18206	R-HSA-6803234	Dissociation of paradoxically activated RAS:BRAF complexes	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6803230	Dissociation of moderate activity BRAF complexes	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6803230	Dissociation of moderate activity BRAF complexes	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P18206	R-HSA-6803230	Dissociation of moderate activity BRAF complexes	R-HSA-1643685	Disease
P18206	R-HSA-6803230	Dissociation of moderate activity BRAF complexes	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6803227	Dissociation of high activity BRAF complexes	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6803227	Dissociation of high activity BRAF complexes	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P18206	R-HSA-6803227	Dissociation of high activity BRAF complexes	R-HSA-1643685	Disease
P18206	R-HSA-6803227	Dissociation of high activity BRAF complexes	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6803233	Dissociation of oncogenic RAS:RAF complex	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6803233	Dissociation of oncogenic RAS:RAF complex	R-HSA-6802949	Signaling by RAS mutants
P18206	R-HSA-6803233	Dissociation of oncogenic RAS:RAF complex	R-HSA-1643685	Disease
P18206	R-HSA-6803233	Dissociation of oncogenic RAS:RAF complex	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-5672980	Dissociation of RAS:RAF complex	R-HSA-5674135	MAP2K and MAPK activation
P18206	R-HSA-5672980	Dissociation of RAS:RAF complex	R-HSA-5673001	RAF/MAP kinase cascade
P18206	R-HSA-5672980	Dissociation of RAS:RAF complex	R-HSA-5684996	MAPK1/MAPK3 signaling
P18206	R-HSA-5672980	Dissociation of RAS:RAF complex	R-HSA-162582	Signal Transduction
P18206	R-HSA-5672980	Dissociation of RAS:RAF complex	R-HSA-5683057	MAPK family signaling cascades
P18206	R-HSA-6802932	Dissociation of BRAF/RAF fusion complex	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802932	Dissociation of BRAF/RAF fusion complex	R-HSA-6802952	Signaling by BRAF and RAF fusions
P18206	R-HSA-6802932	Dissociation of BRAF/RAF fusion complex	R-HSA-1643685	Disease
P18206	R-HSA-6802932	Dissociation of BRAF/RAF fusion complex	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802943	RAS:GTP:inactive p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802943	RAS:GTP:inactive p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P18206	R-HSA-6802943	RAS:GTP:inactive p-RAF complexes phosphorylate MAP2Ks	R-HSA-1643685	Disease
P18206	R-HSA-6802943	RAS:GTP:inactive p-RAF complexes phosphorylate MAP2Ks	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802942	RAS:GTP:p-RAF complexes paradoxically bind MAP2Ks and MAPKs	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802942	RAS:GTP:p-RAF complexes paradoxically bind MAP2Ks and MAPKs	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P18206	R-HSA-6802942	RAS:GTP:p-RAF complexes paradoxically bind MAP2Ks and MAPKs	R-HSA-1643685	Disease
P18206	R-HSA-6802942	RAS:GTP:p-RAF complexes paradoxically bind MAP2Ks and MAPKs	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802918	Activated MAP2Ks phosphorylate MAPKs downstream of inactive BRAF mutants	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802918	Activated MAP2Ks phosphorylate MAPKs downstream of inactive BRAF mutants	R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
P18206	R-HSA-6802918	Activated MAP2Ks phosphorylate MAPKs downstream of inactive BRAF mutants	R-HSA-1643685	Disease
P18206	R-HSA-6802918	Activated MAP2Ks phosphorylate MAPKs downstream of inactive BRAF mutants	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802921	Activated MAP2Ks phosphorylate MAPKs downstream of moderate kinase activity BRAF mutants	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802921	Activated MAP2Ks phosphorylate MAPKs downstream of moderate kinase activity BRAF mutants	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P18206	R-HSA-6802921	Activated MAP2Ks phosphorylate MAPKs downstream of moderate kinase activity BRAF mutants	R-HSA-1643685	Disease
P18206	R-HSA-6802921	Activated MAP2Ks phosphorylate MAPKs downstream of moderate kinase activity BRAF mutants	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802919	RAS:GTP:moderate kinase activity p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802919	RAS:GTP:moderate kinase activity p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P18206	R-HSA-6802919	RAS:GTP:moderate kinase activity p-RAF complexes phosphorylate MAP2Ks	R-HSA-1643685	Disease
P18206	R-HSA-6802919	RAS:GTP:moderate kinase activity p-RAF complexes phosphorylate MAP2Ks	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802914	RAS:GTP:moderate kinase activity p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802914	RAS:GTP:moderate kinase activity p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
P18206	R-HSA-6802914	RAS:GTP:moderate kinase activity p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-1643685	Disease
P18206	R-HSA-6802914	RAS:GTP:moderate kinase activity p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802910	Activated MAP2Ks phosphorylate MAPKs downstream of high kinase activity BRAF mutants	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802910	Activated MAP2Ks phosphorylate MAPKs downstream of high kinase activity BRAF mutants	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P18206	R-HSA-6802910	Activated MAP2Ks phosphorylate MAPKs downstream of high kinase activity BRAF mutants	R-HSA-1643685	Disease
P18206	R-HSA-6802910	Activated MAP2Ks phosphorylate MAPKs downstream of high kinase activity BRAF mutants	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802911	High kinase activity BRAF complexes phosphorylate MAP2Ks	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802911	High kinase activity BRAF complexes phosphorylate MAP2Ks	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P18206	R-HSA-6802911	High kinase activity BRAF complexes phosphorylate MAP2Ks	R-HSA-1643685	Disease
P18206	R-HSA-6802911	High kinase activity BRAF complexes phosphorylate MAP2Ks	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802912	High kinase activity BRAF mutants bind MAP2Ks and MAPKs	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802912	High kinase activity BRAF mutants bind MAP2Ks and MAPKs	R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
P18206	R-HSA-6802912	High kinase activity BRAF mutants bind MAP2Ks and MAPKs	R-HSA-1643685	Disease
P18206	R-HSA-6802912	High kinase activity BRAF mutants bind MAP2Ks and MAPKs	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802926	Mutant RAS:p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802926	Mutant RAS:p-RAF complexes phosphorylate MAP2Ks	R-HSA-6802949	Signaling by RAS mutants
P18206	R-HSA-6802926	Mutant RAS:p-RAF complexes phosphorylate MAP2Ks	R-HSA-1643685	Disease
P18206	R-HSA-6802926	Mutant RAS:p-RAF complexes phosphorylate MAP2Ks	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802925	Mutant RAS:p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802925	Mutant RAS:p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-6802949	Signaling by RAS mutants
P18206	R-HSA-6802925	Mutant RAS:p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-1643685	Disease
P18206	R-HSA-6802925	Mutant RAS:p-RAF complexes bind MAP2Ks and MAPKs	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-6802922	Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS	R-HSA-6802957	Oncogenic MAPK signaling
P18206	R-HSA-6802922	Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS	R-HSA-6802949	Signaling by RAS mutants
P18206	R-HSA-6802922	Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS	R-HSA-1643685	Disease
P18206	R-HSA-6802922	Activated MAP2Ks phosphorylate MAPKs downstream of oncogenic RAS	R-HSA-5663202	Diseases of signal transduction
P18206	R-HSA-5672978	RAF phosphorylates MAP2K dimer	R-HSA-5674135	MAP2K and MAPK activation
P18206	R-HSA-5672978	RAF phosphorylates MAP2K dimer	R-HSA-5673001	RAF/MAP kinase cascade
P18206	R-HSA-5672978	RAF phosphorylates MAP2K dimer	R-HSA-5684996	MAPK1/MAPK3 signaling
P18206	R-HSA-5672978	RAF phosphorylates MAP2K dimer	R-HSA-162582	Signal Transduction
P18206	R-HSA-5672978	RAF phosphorylates MAP2K dimer	R-HSA-5683057	MAPK family signaling cascades
P18206	R-HSA-5672972	MAP2Ks and MAPKs bind to the activated RAF complex	R-HSA-5674135	MAP2K and MAPK activation
P18206	R-HSA-5672972	MAP2Ks and MAPKs bind to the activated RAF complex	R-HSA-5673001	RAF/MAP kinase cascade
P18206	R-HSA-5672972	MAP2Ks and MAPKs bind to the activated RAF complex	R-HSA-5684996	MAPK1/MAPK3 signaling
P18206	R-HSA-5672972	MAP2Ks and MAPKs bind to the activated RAF complex	R-HSA-162582	Signal Transduction
P18206	R-HSA-5672972	MAP2Ks and MAPKs bind to the activated RAF complex	R-HSA-5683057	MAPK family signaling cascades
P18206	R-HSA-5672973	MAP2Ks phosphorylate MAPKs	R-HSA-5674135	MAP2K and MAPK activation
P18206	R-HSA-5672973	MAP2Ks phosphorylate MAPKs	R-HSA-5673001	RAF/MAP kinase cascade
P18206	R-HSA-5672973	MAP2Ks phosphorylate MAPKs	R-HSA-5684996	MAPK1/MAPK3 signaling
P18206	R-HSA-5672973	MAP2Ks phosphorylate MAPKs	R-HSA-162582	Signal Transduction
P18206	R-HSA-5672973	MAP2Ks phosphorylate MAPKs	R-HSA-5683057	MAPK family signaling cascades
